Transcript stable ID version	UniProtKB/Swiss-Prot ID
ENST00000584620.5	
ENST00000570450.5	
ENST00000495201.5	
ENST00000470124.1	
ENST00000574003.1	Q86UA6
ENST00000402997.5	
ENST00000584856.1	
ENST00000621754.1	Q8NH00
ENST00000619169.4	
ENST00000405206.3	
ENST00000372097.9	Q9Y5Q8
ENST00000621336.1	Q8NHC8
ENST00000440319.5	
ENST00000207457.8	Q9UIF3
ENST00000368761.11	O43734
ENST00000419655.6	Q99946
ENST00000613540.1	O43869
ENST00000307771.7	Q15696
ENST00000626837.1	P0C7T2
ENST00000359831.8	O43734
ENST00000512274.1	
ENST00000423671.5	Q99946
ENST00000277225.10	Q96JM2
ENST00000492129.5	
ENST00000469024.1	
ENST00000395325.7	O75061
ENST00000472574.1	
ENST00000610282.1	Q6IF00
ENST00000473120.1	
ENST00000418248.5	Q5SQI0
ENST00000437574.5	
ENST00000374686.6	
ENST00000295065.9	Q9Y316
ENST00000371069.5	O75061
ENST00000372108.9	Q9Y5Q8
ENST00000568943.5	P23975
ENST00000441147.6	Q96JM2
ENST00000614898.1	Q8NH03
ENST00000340026.10	O43734
ENST00000568529.6	
ENST00000379383.7	Q9Y316
ENST00000419071.6	O60256
ENST00000492671.1	
ENST00000414754.7	
ENST00000495464.5	
ENST00000263441.11	O75061
ENST00000228434.7	Q07108
ENST00000568655.5	
ENST00000342018.12	
ENST00000573253.5	
ENST00000446506.1	
ENST00000487101.5	
ENST00000536709.1	
ENST00000374866.9	P05997
ENST00000379906.6	P23975
ENST00000439697.1	
ENST00000571907.5	
ENST00000561820.5	
ENST00000367455.8	Q9Y5K5
ENST00000427098.1	
ENST00000566163.5	
ENST00000649966.1	
ENST00000419284.6	
ENST00000428149.6	Q96BT7
ENST00000420791.5	
ENST00000567238.1	P23975
ENST00000435745.1	
ENST00000404530.5	Q9Y316
ENST00000368735.1	O43734
ENST00000423382.2	Q99519
ENST00000574918.1	
ENST00000429370.5	Q96BT7
ENST00000368734.5	O43734
ENST00000268835.7	O60256
ENST00000372099.10	
ENST00000376729.10	Q9H1Z4
ENST00000219833.12	P23975
ENST00000368730.5	O43734
ENST00000426310.6	Q9Y316
ENST00000389568.7	Q96BT7
ENST00000412418.5	
ENST00000464903.1	
ENST00000218056.9	Q9H1Z4
ENST00000618828.1	
ENST00000260318.6	Q96BT7
ENST00000503974.5	Q96HC4
ENST00000575228.5	
ENST00000373314.7	Q96TA1
ENST00000417449.6	Q96BT7
ENST00000371471.6	O75362
ENST00000504489.3	
ENST00000407893.3	
ENST00000395656.6	
ENST00000437222.1	
ENST00000437854.1	
ENST00000420586.6	Q5SQI0
ENST00000393100.3	
ENST00000415845.1	
ENST00000250454.8	Q56P03
ENST00000431687.5	
ENST00000575102.5	
ENST00000650859.1	
ENST00000455992.6	
ENST00000432643.6	Q5SQI0
ENST00000651359.1	
ENST00000256852.7	Q9Y2V3
ENST00000554792.1	
ENST00000373312.4	Q96TA1
ENST00000302342.3	O75362
ENST00000576355.5	
ENST00000612256.4	Q13795
ENST00000650649.1	
ENST00000422237.5	
ENST00000392556.8	O43734
ENST00000555705.1	
ENST00000334889.4	Q9Y2V3
ENST00000225296.8	Q9H6R0
ENST00000542013.5	O60256
ENST00000618169.4	
ENST00000555288.1	
ENST00000435507.6	
ENST00000445973.5	Q5SQI0
ENST00000574451.5	
ENST00000367454.5	Q9Y5K5
ENST00000450220.2	Q5SQI0
ENST00000449480.5	
ENST00000460724.1	
ENST00000498631.5	
ENST00000610773.4	O60256
ENST00000536323.5	O60256
ENST00000367450.7	
ENST00000486125.5	
ENST00000628609.1	
ENST00000367451.8	
ENST00000632488.1	P08246
ENST00000587244.5	
ENST00000544490.5	
ENST00000367448.5	Q9Y5K5
ENST00000540567.1	
ENST00000615489.1	P08246
ENST00000433302.7	
ENST00000276692.11	Q6P1N9
ENST00000299721.3	Q7Z7G2
ENST00000446524.1	Q6IF82
ENST00000372484.7	
ENST00000245796.11	Q8NDX1
ENST00000367449.5	Q9Y5K5
ENST00000572490.1	
ENST00000616590.4	
ENST00000523214.5	
ENST00000443327.5	
ENST00000482760.3	
ENST00000541999.5	
ENST00000416915.1	
ENST00000606394.5	
ENST00000618838.4	Q13795
ENST00000574023.1	
ENST00000535830.5	
ENST00000611689.4	
ENST00000421683.1	
ENST00000354880.9	
ENST00000519548.5	Q6P1N9
ENST00000538973.5	
ENST00000541367.5	
ENST00000417752.1	
ENST00000449347.5	
ENST00000379400.8	P50749
ENST00000522810.5	
ENST00000379376.2	P50749
ENST00000440486.7	P22607
ENST00000540222.5	
ENST00000441564.7	Q8NDX1
ENST00000537837.5	
ENST00000517678.5	
ENST00000481110.6	
ENST00000409656.5	
ENST00000541554.1	
ENST00000646241.2	P10619
ENST00000612157.4	Q13795
ENST00000250489.8	Q86T03
ENST00000352904.6	P22607
ENST00000191018.9	P10619
ENST00000618568.4	Q13795
ENST00000553460.5	
ENST00000409378.1	
ENST00000394071.6	Q6PJG2
ENST00000205557.11	O95255
ENST00000621943.4	Q9BW60
ENST00000413844.3	Q9BW60
ENST00000627587.2	
ENST00000307767.13	Q9NYZ1
ENST00000398020.6	Q86T03
ENST00000607482.5	
ENST00000636578.2	A0A1B0GTI1
ENST00000576708.5	
ENST00000542407.5	Q96HC4
ENST00000607873.1	Q13795
ENST00000263734.5	Q99814
ENST00000608166.2	Q9NS18
ENST00000508216.5	Q96HC4
ENST00000423556.6	
ENST00000556093.1	
ENST00000372459.6	P10619
ENST00000451078.5	
ENST00000514743.5	Q96HC4
ENST00000379445.7	Q4LDR2
ENST00000622789.5	Q13795
ENST00000574294.5	
ENST00000435371.1	
ENST00000260795.7	
ENST00000617994.2	P00746
ENST00000395322.3	Q4LDR2
ENST00000614942.4	Q13795
ENST00000510099.5	
ENST00000507588.1	
ENST00000620385.1	Q4LDR2
ENST00000571018.5	
ENST00000367439.7	Q9NS18
ENST00000632706.1	
ENST00000419493.2	
ENST00000421708.1	
ENST00000509357.5	
ENST00000574226.5	
ENST00000619493.4	Q13795
ENST00000456970.6	O95255
ENST00000513341.5	
ENST00000367440.3	Q9NS18
ENST00000286523.9	Q6PJG2
ENST00000575261.5	
ENST00000340107.8	P22607
ENST00000412135.6	P22607
ENST00000476139.5	
ENST00000611272.2	Q6IEZ7
ENST00000581733.1	
ENST00000613647.4	
ENST00000506632.2	
ENST00000354855.7	Q9NZS2
ENST00000560775.5	C9JE40
ENST00000207870.8	O75191
ENST00000374317.1	O60269
ENST00000650590.1	
ENST00000374314.5	O60269
ENST00000558809.1	
ENST00000318007.9	Q96HC4
ENST00000380180.7	Q96HC4
ENST00000264463.8	Q9Y6N8
ENST00000424034.5	
ENST00000373178.5	Q9NX46
ENST00000577103.1	
ENST00000519776.5	
ENST00000279545.7	Q9NZS2
ENST00000560780.1	
ENST00000649234.1	
ENST00000575728.1	O95255
ENST00000437932.5	
ENST00000573584.6	Q99567
ENST00000558481.5	
ENST00000615540.4	Q96HC4
ENST00000640696.1	
ENST00000560110.1	
ENST00000510477.5	
ENST00000225696.8	
ENST00000622290.4	O95255
ENST00000434130.5	C9JE40
ENST00000605953.5	
ENST00000541091.5	P42263
ENST00000511138.5	
ENST00000520321.5	
ENST00000617889.5	Q9NZS2
ENST00000522310.5	
ENST00000620443.2	P42263
ENST00000288943.5	Q05923
ENST00000519232.5	
ENST00000511581.5	
ENST00000612321.4	Q9NZS2
ENST00000520938.3	
ENST00000466508.5	Q6ZSY5
ENST00000523888.5	
ENST00000508698.3	
ENST00000523152.3	
ENST00000622768.4	P42263
ENST00000537723.5	
ENST00000545196.1	
ENST00000630259.1	
ENST00000055335.11	Q6ZSY5
ENST00000620581.4	
ENST00000495799.5	Q6ZSY5
ENST00000481390.5	
ENST00000378850.4	A7E2U8
ENST00000652102.1	
ENST00000617793.4	
ENST00000397799.2	P25067
ENST00000471261.2	
ENST00000481785.1	
ENST00000303545.3	Q8WU17
ENST00000572809.1	
ENST00000376188.1	Q6ZSY5
ENST00000464356.6	Q14814
ENST00000517684.2	
ENST00000313597.9	Q96IJ6
ENST00000572290.1	
ENST00000303143.9	P25067
ENST00000334955.13	Q6PCB5
ENST00000373016.4	Q13643
ENST00000373917.7	Q96IJ6
ENST00000445288.5	Q6PCB5
ENST00000575991.1	
ENST00000445512.5	
ENST00000338832.4	Q6UQ28
ENST00000441514.1	
ENST00000350210.6	P81408
ENST00000348159.9	Q14814
ENST00000372764.4	P00749
ENST00000358215.8	Q96IJ6
ENST00000573121.5	Q96LB4
ENST00000512248.5	Q9NXP7
ENST00000360595.7	Q14814
ENST00000446342.5	
ENST00000443704.5	
ENST00000275525.8	P08833
ENST00000373908.5	Q96IJ6
ENST00000236192.12	O75379
ENST00000612630.4	Q96T88
ENST00000457280.5	
ENST00000412307.3	Q5SWW7
ENST00000571439.5	Q96LB4
ENST00000301204.8	Q8NBT3
ENST00000620565.4	
ENST00000474047.5	O75379
ENST00000455657.5	
ENST00000468955.1	
ENST00000575971.5	Q96LB4
ENST00000673205.1	
ENST00000613817.4	
ENST00000435316.5	
ENST00000367740.2	O75379
ENST00000367381.2	Q96LB4
ENST00000280362.8	Q03393
ENST00000341142.7	Q96IJ6
ENST00000615884.4	Q96T88
ENST00000584601.5	P04626
ENST00000368368.7	P81408
ENST00000598766.1	
ENST00000622802.4	
ENST00000480034.1	
ENST00000475587.2	
ENST00000673187.1	
ENST00000578199.5	
ENST00000616255.1	Q96T88
ENST00000361361.7	P81408
ENST00000601644.1	
ENST00000528679.5	
ENST00000650932.1	Q96T88
ENST00000489057.1	
ENST00000445658.6	
ENST00000622191.1	
ENST00000457923.5	Q99943
ENST00000368240.6	
ENST00000446463.6	Q99943
ENST00000624301.3	Q96T88
ENST00000399004.7	Q9NXP7
ENST00000531673.5	
ENST00000449776.5	Q99943
ENST00000525803.1	
ENST00000508629.5	Q9NXP7
ENST00000238558.4	P56915
ENST00000427763.5	Q99943
ENST00000524931.1	
ENST00000487649.5	
ENST00000584450.5	
ENST00000513747.1	Q9NXP7
ENST00000491082.1	
ENST00000446323.5	Q99943
ENST00000425204.2	Q99943
ENST00000228438.2	Q92478
ENST00000356711.7	Q9Y6X6
ENST00000373014.5	Q9Y3A2
ENST00000469139.1	
ENST00000251041.10	Q9Y6X6
ENST00000538152.1	
ENST00000582648.5	
ENST00000284767.11	Q53GG5
ENST00000621094.4	
ENST00000284770.10	
ENST00000457511.7	
ENST00000421560.5	
ENST00000537505.6	Q15276
ENST00000418588.5	
ENST00000284771.6	Q53GG5
ENST00000431960.5	
ENST00000636932.1	
ENST00000514853.3	P0DO97
ENST00000534741.2	
ENST00000643009.1	
ENST00000649162.1	
ENST00000341923.10	Q15276
ENST00000308775.7	Q14118
ENST00000620787.5	
ENST00000220676.2	P56715
ENST00000570487.1	
ENST00000398705.7	Q8IVV2
ENST00000578373.5	
ENST00000574568.1	
ENST00000637698.1	
ENST00000452317.5	
ENST00000269571.9	P04626
ENST00000572250.1	
ENST00000435508.7	
ENST00000452060.6	
ENST00000505886.5	
ENST00000578709.5	
ENST00000512293.1	
ENST00000066544.8	P30260
ENST00000328788.5	A2A2Y4
ENST00000673708.1	
ENST00000508802.5	Q86TI0
ENST00000259229.7	Q96NT0
ENST00000578502.1	
ENST00000428779.6	
ENST00000312358.12	Q15772
ENST00000582818.5	
ENST00000442217.5	
ENST00000531206.5	P30260
ENST00000430636.1	
ENST00000651709.1	Q96NT0
ENST00000580074.1	
ENST00000570740.1	
ENST00000409127.1	
ENST00000406381.6	P04626
ENST00000541774.5	P04626
ENST00000545947.5	Q14118
ENST00000629667.2	
ENST00000538711.5	Q14118
ENST00000261439.9	Q86TI0
ENST00000539901.5	Q14118
ENST00000541308.5	Q14118
ENST00000515359.6	Q14118
ENST00000402522.1	
ENST00000555414.5	P27695
ENST00000533415.5	
ENST00000543629.5	
ENST00000571643.5	
ENST00000394231.8	Q9BRT3
ENST00000374328.3	
ENST00000577810.1	
ENST00000527547.5	
ENST00000526866.5	
ENST00000573502.1	
ENST00000579038.6	
ENST00000370339.8	Q9BYJ9
ENST00000370334.4	
ENST00000435853.5	
ENST00000374323.8	
ENST00000574304.5	
ENST00000376434.5	A2A2Y4
ENST00000435058.5	
ENST00000216714.8	P27695
ENST00000403148.6	
ENST00000437020.5	
ENST00000576484.1	
ENST00000503753.5	Q9BQS2
ENST00000553681.5	
ENST00000573550.5	
ENST00000450482.5	
ENST00000570818.5	
ENST00000327040.13	Q9NYI0
ENST00000431523.5	
ENST00000445657.6	
ENST00000374321.9	Q9BQS2
ENST00000575483.5	
ENST00000396698.5	
ENST00000282881.10	Q8N9Z9
ENST00000512997.5	
ENST00000250360.7	Q9Y336
ENST00000532893.5	
ENST00000539744.5	Q8N9Z9
ENST00000440804.7	Q9Y336
ENST00000452101.1	
ENST00000582081.5	
ENST00000300591.11	Q8IVV2
ENST00000440590.5	P30511
ENST00000420132.5	
ENST00000557344.5	
ENST00000599948.1	
ENST00000286485.12	Q9NYI0
ENST00000582408.6	
ENST00000578386.5	
ENST00000458174.6	Q8N9Z9
ENST00000346246.9	Q8IVW6
ENST00000426675.5	
ENST00000458119.5	
ENST00000428502.6	
ENST00000376438.5	A2A2Y4
ENST00000445693.5	Q8N9Z9
ENST00000398030.8	P27695
ENST00000398686.8	Q8IVV2
ENST00000523619.5	
ENST00000554325.1	
ENST00000413632.6	Q8N9Z9
ENST00000557181.5	
ENST00000304195.8	A2A2Y4
ENST00000566147.1	
ENST00000539523.1	
ENST00000555839.5	
ENST00000302631.8	O14828
ENST00000518315.5	
ENST00000452916.1	
ENST00000545543.1	
ENST00000431299.1	
ENST00000355379.3	O14828
ENST00000551780.2	
ENST00000553368.1	
ENST00000621208.4	A2A2Y4
ENST00000376207.10	Q9BZS1
ENST00000538178.5	
ENST00000622429.1	Q8IVW6
ENST00000556054.5	
ENST00000540106.5	
ENST00000509434.5	
ENST00000331758.8	O75177
ENST00000557054.1	
ENST00000642948.1	
ENST00000542224.1	
ENST00000557592.5	
ENST00000373012.5	Q03052
ENST00000378017.7	O43312
ENST00000376199.7	Q9BZS1
ENST00000393540.7	Q8TBZ0
ENST00000441551.6	Q8IVV2
ENST00000520858.5	
ENST00000557150.5	
ENST00000651307.1	
ENST00000492466.2	
ENST00000414184.1	
ENST00000438886.1	
ENST00000519851.5	
ENST00000370848.8	O75177
ENST00000374088.7	Q7Z591
ENST00000641597.1	O43175
ENST00000517971.5	
ENST00000455775.7	
ENST00000451076.1	
ENST00000493622.5	
ENST00000518547.5	O43312
ENST00000422287.6	Q96HR8
ENST00000409595.2	
ENST00000641720.1	
ENST00000518685.6	Q9BZS1
ENST00000223791.7	Q7Z591
ENST00000452425.2	
ENST00000521027.5	
ENST00000396526.7	Q9UNH7
ENST00000374075.9	Q7Z591
ENST00000651260.1	
ENST00000376197.1	
ENST00000536111.1	
ENST00000519168.5	
ENST00000274054.3	Q96HR8
ENST00000557224.6	Q9BZS1
ENST00000419859.1	
ENST00000399975.7	Q9Y5T5
ENST00000293261.8	Q96AN5
ENST00000521475.1	
ENST00000652559.1	
ENST00000307588.8	Q8TBZ0
ENST00000536736.5	
ENST00000650877.1	
ENST00000262435.14	Q9HAU4
ENST00000325064.9	O43312
ENST00000641023.1	O43175
ENST00000508538.1	
ENST00000312033.3	Q7Z591
ENST00000615573.4	
ENST00000585301.1	
ENST00000307564.8	Q7Z591
ENST00000510617.5	
ENST00000374079.8	Q7Z591
ENST00000225171.7	Q9UKB3
ENST00000614430.3	
ENST00000377431.6	Q96AN5
ENST00000396688.5	Q15772
ENST00000510481.5	
ENST00000483798.6	
ENST00000440756.4	Q9NYI0
ENST00000506876.5	
ENST00000431961.6	O43312
ENST00000396686.5	Q15772
ENST00000480963.5	
ENST00000396689.2	Q15772
ENST00000507501.5	
ENST00000339758.7	Q9UKB3
ENST00000642041.1	
ENST00000506962.3	
ENST00000641947.1	
ENST00000480180.1	
ENST00000524090.5	
ENST00000504020.2	
ENST00000435956.7	
ENST00000523179.5	
ENST00000216489.8	Q13686
ENST00000383152.6	
ENST00000598926.5	
ENST00000557057.5	
ENST00000522118.1	
ENST00000555100.1	
ENST00000597370.5	
ENST00000446803.6	
ENST00000522162.1	
ENST00000599220.1	
ENST00000601522.1	
ENST00000399665.5	
ENST00000399662.5	
ENST00000510573.6	
ENST00000513936.6	
ENST00000399660.5	
ENST00000566571.5	
ENST00000446563.5	
ENST00000443855.5	
ENST00000362031.10	Q9UNH7
ENST00000421339.3	
ENST00000433748.5	Q9UMR5
ENST00000359499.8	Q8N1N4
ENST00000327381.7	Q5GH76
ENST00000567107.6	Q8N9W4
ENST00000441396.1	
ENST00000376227.4	O60826
ENST00000312015.6	
ENST00000304620.5	Q8N1N4
ENST00000622811.1	Q5GH76
ENST00000304502.5	P11844
ENST00000337288.9	Q9NQZ5
ENST00000399976.7	Q9Y5T5
ENST00000345070.5	
ENST00000547920.1	
ENST00000641213.1	
ENST00000547646.2	
ENST00000556162.6	
ENST00000641074.1	
ENST00000555416.6	
ENST00000641115.1	
ENST00000443962.1	
ENST00000556712.6	
ENST00000557265.6	
ENST00000556440.7	Q96GE4
ENST00000641491.1	
ENST00000251047.6	P49257
ENST00000557341.6	
ENST00000369409.9	
ENST00000425248.5	Q9UBF2
ENST00000579860.5	
ENST00000641513.1	
ENST00000555648.1	
ENST00000580188.1	
ENST00000615497.4	
ENST00000581056.5	
ENST00000652385.1	
ENST00000641587.1	
ENST00000342412.10	Q96CA5
ENST00000504686.2	Q9NZH5
ENST00000302312.9	Q9NZD4
ENST00000641570.1	
ENST00000330992.8	Q9UBF2
ENST00000641891.1	
ENST00000564707.1	
ENST00000217169.8	Q96CA5
ENST00000650262.1	A4D256
ENST00000428251.2	
ENST00000641375.1	
ENST00000265564.8	Q15024
ENST00000395306.1	
ENST00000334352.8	Q9Y5T5
ENST00000641371.1	
ENST00000553956.6	
ENST00000504926.5	Q9ULD9
ENST00000641272.1	
ENST00000582724.1	
ENST00000641247.1	
ENST00000577960.1	
ENST00000358377.7	Q8WV16
ENST00000641756.1	
ENST00000353777.7	
ENST00000583457.1	
ENST00000509320.5	
ENST00000641811.1	
ENST00000345496.7	P60604
ENST00000583676.1	
ENST00000567078.2	
ENST00000394234.6	Q8WV16
ENST00000391429.1	Q7RTU4
ENST00000370018.7	Q9NZ71
ENST00000553412.5	
ENST00000508582.6	Q9NZ71
ENST00000306315.9	Q9ULD9
ENST00000456156.6	Q9H2S5
ENST00000450234.5	
ENST00000509153.5	Q8WV16
ENST00000399973.1	
ENST00000264036.6	P43121
ENST00000312655.9	Q96QA6
ENST00000469728.5	
ENST00000442063.2	Q9H2S5
ENST00000555042.5	Q8WV16
ENST00000505686.5	
ENST00000428373.5	Q9UBL0
ENST00000633557.1	
ENST00000585166.1	Q96QA6
ENST00000360203.10	Q9NZ71
ENST00000634088.1	
ENST00000421492.5	
ENST00000672916.1	
ENST00000359242.7	Q9ULJ1
ENST00000633211.1	
ENST00000533522.1	
ENST00000632729.1	
ENST00000460698.6	
ENST00000509799.5	
ENST00000491513.5	
ENST00000403625.6	O15021
ENST00000333813.4	Q8IXB3
ENST00000530832.5	
ENST00000513986.1	
ENST00000373095.6	Q5T9C2
ENST00000405990.3	
ENST00000553457.1	
ENST00000290663.10	Q96G25
ENST00000330942.9	P60604
ENST00000318100.9	Q9NZ71
ENST00000406374.5	O15021
ENST00000370566.7	Q9ULJ1
ENST00000376417.8	
ENST00000478200.1	
ENST00000613878.4	
ENST00000372457.9	Q96G25
ENST00000406039.5	
ENST00000482936.6	Q9NZ71
ENST00000376419.5	Q5T6J7
ENST00000462648.5	
ENST00000304414.12	Q15041
ENST00000372455.4	Q96G25
ENST00000356810.5	
ENST00000294678.6	Q9ULJ1
ENST00000454393.5	Q5T6J7
ENST00000452953.5	
ENST00000646389.1	
ENST00000563861.5	
ENST00000373084.8	Q5T9C2
ENST00000546206.6	Q15041
ENST00000433942.5	
ENST00000432817.5	
ENST00000641998.1	Q8NGI8
ENST00000531412.5	
ENST00000651950.1	
ENST00000562819.5	
ENST00000641850.1	Q8NGI8
ENST00000434115.5	
ENST00000562234.2	
ENST00000425905.5	
ENST00000411628.5	
ENST00000452679.6	O60927
ENST00000313940.2	Q8NGI8
ENST00000490016.6	
ENST00000354556.8	
ENST00000290294.5	Q96KF2
ENST00000337198.10	O14977
ENST00000357028.6	Q6P2C8
ENST00000403666.5	O15021
ENST00000417223.5	
ENST00000436833.5	
ENST00000496816.5	
ENST00000428563.5	
ENST00000339420.7	
ENST00000540698.6	
ENST00000449435.1	
ENST00000292035.10	Q6P2C8
ENST00000581693.5	
ENST00000450827.5	
ENST00000424952.7	Q9NYG2
ENST00000395648.7	O14683
ENST00000422730.4	D3DTV9
ENST00000651555.1	
ENST00000405643.5	O15021
ENST00000347770.8	O14977
ENST00000432056.1	
ENST00000407621.1	
ENST00000443879.2	
ENST00000474263.1	Q6P2C8
ENST00000432426.5	
ENST00000488879.6	
ENST00000261569.11	O15021
ENST00000479890.5	
ENST00000296127.7	Q9NYG2
ENST00000521536.6	
ENST00000436277.5	
ENST00000520402.5	
ENST00000531234.5	
ENST00000314392.12	O94777
ENST00000518353.5	
ENST00000533940.5	O14683
ENST00000342790.8	
ENST00000290295.7	Q92826
ENST00000525680.5	O14683
ENST00000433512.5	
ENST00000447738.1	
ENST00000394733.2	
ENST00000455235.5	
ENST00000265840.12	Q8N336
ENST00000373110.4	
ENST00000280333.9	Q14185
ENST00000478286.2	
ENST00000532253.5	
ENST00000419642.1	
ENST00000443808.1	
ENST00000486215.1	
ENST00000443271.2	Q8N336
ENST00000528473.5	
ENST00000402918.7	Q5R3F8
ENST00000317336.11	Q9ULJ1
ENST00000623213.1	
ENST00000528290.5	
ENST00000344846.7	O95473
ENST00000613079.4	Q5R3F8
ENST00000531928.6	
ENST00000296130.5	P05452
ENST00000316286.13	
ENST00000600863.5	
ENST00000601610.5	
ENST00000525145.5	
ENST00000601682.1	
ENST00000428034.1	
ENST00000595322.1	
ENST00000372571.5	
ENST00000437901.6	
ENST00000491431.2	Q8N393
ENST00000627604.1	
ENST00000396976.6	Q8IWY8
ENST00000525683.5	
ENST00000522781.6	Q6ZSG2
ENST00000572470.2	Q99456
ENST00000424811.2	Q6ZSG2
ENST00000566849.5	
ENST00000525138.5	
ENST00000614311.4	Q6ZSG2
ENST00000221455.8	
ENST00000361229.8	Q6PI77
ENST00000533443.5	
ENST00000562072.5	
ENST00000637180.1	
ENST00000530035.5	
ENST00000568898.5	
ENST00000570181.2	
ENST00000527685.5	
ENST00000391953.8	Q8N2M8
ENST00000457056.6	Q6PI77
ENST00000651865.1	
ENST00000376477.5	Q9NSA2
ENST00000561661.1	
ENST00000533937.1	
ENST00000621089.2	
ENST00000616990.4	O14683
ENST00000285930.9	P15121
ENST00000330720.7	P24390
ENST00000308212.9	O14683
ENST00000396972.2	
ENST00000372735.1	Q6PI77
ENST00000597017.5	P24390
ENST00000218176.4	Q9NSA2
ENST00000381192.10	P14209
ENST00000627720.1	
ENST00000591410.5	
ENST00000600980.1	
ENST00000434222.5	
ENST00000419374.1	
ENST00000302979.4	P0DPB6
ENST00000381187.8	P14209
ENST00000225792.10	P17844
ENST00000447531.5	Q6PI77
ENST00000448484.5	
ENST00000448867.1	Q6PI77
ENST00000381184.6	
ENST00000652409.1	
ENST00000450599.6	P17844
ENST00000391952.7	Q8N2M8
ENST00000317643.10	Q9Y286
ENST00000578804.5	
ENST00000588936.5	
ENST00000305628.7	Q9Y286
ENST00000444190.5	Q9UBL0
ENST00000399697.7	P0DPB5
ENST00000437198.7	O95453
ENST00000254644.12	
ENST00000489647.4	
ENST00000449196.5	
ENST00000482405.7	P14209
ENST00000359741.9	Q15043
ENST00000544944.6	
ENST00000314761.9	Q8IWA0
ENST00000520644.1	
ENST00000605125.5	
ENST00000630983.1	
ENST00000624481.4	
ENST00000587112.1	
ENST00000636817.1	
ENST00000437362.6	
ENST00000291554.6	P02489
ENST00000652542.1	Q5JY77
ENST00000536156.5	Q9Y286
ENST00000337109.9	Q9NZE8
ENST00000465887.2	
ENST00000600577.1	Q9Y286
ENST00000579996.5	
ENST00000637071.1	
ENST00000187397.8	Q9UBL0
ENST00000381180.9	
ENST00000577787.1	
ENST00000398133.5	
ENST00000409180.1	
ENST00000528084.5	
ENST00000399696.3	
ENST00000398132.1	
ENST00000361600.9	Q5JY77
ENST00000623253.4	P14209
ENST00000452563.5	
ENST00000591904.1	
ENST00000240095.10	Q15043
ENST00000438577.5	
ENST00000537097.2	Q5JY77
ENST00000527359.5	
ENST00000322989.8	P62244
ENST00000436347.5	
ENST00000414496.5	
ENST00000578400.5	
ENST00000381237.6	Q15043
ENST00000444152.5	Q5JY77
ENST00000381177.7	
ENST00000572008.5	P62244
ENST00000415986.5	Q5JY77
ENST00000419330.5	
ENST00000648328.1	
ENST00000368130.9	O14862
ENST00000577922.5	
ENST00000563390.5	P62244
ENST00000427542.5	Q9UBL0
ENST00000289952.9	Q15043
ENST00000651348.1	
ENST00000611428.5	P14209
ENST00000530840.5	
ENST00000531532.5	
ENST00000474696.5	Q9UBL0
ENST00000650990.1	
ENST00000607778.2	Q6ZYL4
ENST00000581697.5	
ENST00000371435.6	
ENST00000524285.1	
ENST00000574723.5	
ENST00000427960.5	
ENST00000529333.5	
ENST00000533786.5	
ENST00000520832.1	
ENST00000561424.5	P61769
ENST00000412048.5	Q9UBL0
ENST00000581806.5	
ENST00000527470.5	
ENST00000576436.5	
ENST00000533202.5	
ENST00000519960.5	
ENST00000631047.1	
ENST00000426422.1	
ENST00000525515.5	
ENST00000578190.5	
ENST00000559916.1	P61769
ENST00000396482.6	Q9UBL0
ENST00000522881.2	
ENST00000357039.9	P28328
ENST00000395961.7	O75363
ENST00000583239.6	
ENST00000453748.5	
ENST00000517552.1	
ENST00000432682.5	Q9UBL0
ENST00000579091.5	
ENST00000422805.1	
ENST00000517370.1	
ENST00000349264.10	
ENST00000432450.5	
ENST00000562935.5	
ENST00000520103.5	P28328
ENST00000651760.1	
ENST00000332262.9	Q96D09
ENST00000585060.5	
ENST00000569365.6	
ENST00000652727.1	
ENST00000413378.5	
ENST00000576008.5	
ENST00000533080.5	
ENST00000584279.5	
ENST00000522527.5	P28328
ENST00000417925.5	Q9UBL0
ENST00000648006.2	P61769
ENST00000565420.5	P62244
ENST00000543253.5	Q96D09
ENST00000535209.5	Q96D09
ENST00000583212.1	
ENST00000518986.5	
ENST00000557901.5	
ENST00000563579.1	
ENST00000368129.3	
ENST00000519956.1	
ENST00000585111.1	
ENST00000569083.1	
ENST00000535540.1	D3W0D1
ENST00000520358.7	Q96SJ8
ENST00000396481.6	Q9UBL0
ENST00000652541.1	
ENST00000622138.4	A6NDI0
ENST00000652066.1	
ENST00000372572.5	Q9UPW0
ENST00000441454.5	Q9UBL0
ENST00000520999.6	
ENST00000561139.1	
ENST00000372573.5	Q9UPW0
ENST00000332682.8	A6NDI0
ENST00000630471.2	
ENST00000231668.13	Q12981
ENST00000520837.5	
ENST00000436702.5	Q9UBL0
ENST00000651300.1	
ENST00000310823.8	P78536
ENST00000503804.5	Q96C74
ENST00000445886.5	
ENST00000518429.2	
ENST00000422278.1	
ENST00000438071.1	Q9UBL0
ENST00000420015.6	O95453
ENST00000528238.5	
ENST00000454417.1	
ENST00000274134.5	Q96C74
ENST00000652051.1	
ENST00000351486.9	Q12981
ENST00000355689.6	Q86WT1
ENST00000446068.6	
ENST00000544417.5	
ENST00000361346.6	Q9UPW0
ENST00000649227.1	
ENST00000352523.10	Q12981
ENST00000425289.5	
ENST00000338566.8	Q15761
ENST00000341484.11	O95453
ENST00000647979.1	
ENST00000427590.1	
ENST00000393770.4	Q12981
